PC1,PC2,PC3
-3117.242238250288,26001.099072403606,110.02916539009789
-136.5213249210668,26596.21227950913,364.3764591933819
-1428.7106170147165,39784.384439866146,12351.157790659645
-5358.26899656262,28356.790849481196,-189.24537135305587
26504.10744863145,-10004.465822585098,-25610.38087852571
56392.052047960584,-8768.985019238211,-7854.518069061821
96.5716002128675,-3701.445687358467,-5537.323171382531
7699.311670125687,-4680.37346061894,-22668.982937167268
5193.700156253451,-2860.7554439694445,-12920.470010907598
23846.57149158319,3831.1312797635596,291.1894908273334
27176.328688882186,-19511.08873322058,50099.986374834836
-2277.678159645023,-5164.971948507689,9956.41741698405
-10607.392830337112,-1708.1423948756485,-664.7691858734546
-4988.392900862762,-3470.9158309788854,3627.040733807887
-11363.867542311591,-1400.062402166462,-1651.1029040594342
-16530.16531394558,-4351.879703221488,4835.839735355093
-25239.44905863378,-17242.98036558041,-1240.8953012118618
-25887.821284975755,-18146.651538541017,-1090.0000319328346
-24046.397149225522,-15770.163478528397,-1554.2318925859233
-15926.735686963768,-7786.736091632862,-654.1174129908356
